index_type,mrr_at_10,recall_at_100,index_build_seconds,search_seconds,mean_search_ms,query_count,notes
flat,0.047921511138071644,0.24923141051015388,0.45042127097258344,198.90380645199912,3.5788226717765865,55578,Exact FAISS baseline
hnsw,0.032009061196419504,0.14775060875406335,32.04284050996648,2.1076601969543844,0.037922562829795683,55578,Fastest search but large quality drop
ivf,0.04410684512028569,0.22345292501829261,3.285143662011251,63.97390057798475,1.1510651800709768,55578,Moderate search speedup with smaller quality drop
