label,family,query_p50_ms,query_p95_ms,end_to_end_p50_ms,end_to_end_p95_ms,memory_bytes,run_dir
Teacher Zero-Shot,teacher,3.0893604998709634,3.1989445582439657,23.567461998027284,23.821036511071725,449856512,teacher_bge_base_zero_shot_reference_retrieval_20260414_220138
Teacher Fine-Tune,teacher_ablation,3.075195498240646,3.2125290410476737,23.836814005335327,24.243314502382418,1772849152,teacher_bge_base_msmarco_finetune_conservative_20260414_221912
Student Q4 CLS,student,7.171485514845699,8.205607994750608,31.239181495038792,32.68041993287625,65536,student_bge_query4_msmarco_20260415_195330
Student Q2 CLS,student,4.106573003809899,4.477536439662799,24.80041200760752,25.40522895869799,65536,student_bge_query2_msmarco_20260416_170428
Student Q4 Mean,student_best,1.8190270056948066,1.9913874682970343,25.243326497729868,26.182503503514454,1742999552,student_bge_query4_pool_mean_msmarco_20260416_230108
Student Q4 Mean + Proj,student_ablation,1.8480629951227456,1.956999031244777,24.822000006679446,25.10517849586904,1750464000,student_bge_query4_pool_mean_proj256_msmarco_20260416_232922
Student Q4 Mean + Distill,student_ablation,1.8235789611935616,1.9988520012702793,23.172018030891195,23.90204052790068,2181266432,student_bge_query4_pool_mean_distill_msmarco_20260417_003541
